Jahr,Alter,Count
2012,0 bis 17 Jahre,259
2012,18 bis 30 Jahre,227
2012,31 bis 65 Jahre,1130
2012,> 65 Jahre,678
2012,Unbekannt,0
2012,Total,2294
2013,0 bis 17 Jahre,245
2013,18 bis 30 Jahre,224
2013,31 bis 65 Jahre,1110
2013,> 65 Jahre,715
2013,Unbekannt,0
2013,Total,2294
2014,0 bis 17 Jahre,239
2014,18 bis 30 Jahre,226
2014,31 bis 65 Jahre,1190
2014,> 65 Jahre,760
2014,Unbekannt,0
2014,Total,2415
2015,0 bis 17 Jahre,231
2015,18 bis 30 Jahre,222
2015,31 bis 65 Jahre,1153
2015,> 65 Jahre,821
2015,Unbekannt,0
2015,Total,2427
2016,0 bis 17 Jahre,202
2016,18 bis 30 Jahre,217
2016,31 bis 65 Jahre,1188
2016,> 65 Jahre,869
2016,Unbekannt,0
2016,Total,2476
2017,0 bis 17 Jahre,207
2017,18 bis 30 Jahre,238
2017,31 bis 65 Jahre,1247
2017,> 65 Jahre,879
2017,Unbekannt,0
2017,Total,2571
2018,0 bis 17 Jahre,209
2018,18 bis 30 Jahre,254
2018,31 bis 65 Jahre,1270
2018,> 65 Jahre,883
2018,Unbekannt,0
2018,Total,2616
2019,0 bis 17 Jahre,220
2019,18 bis 30 Jahre,250
2019,31 bis 65 Jahre,1338
2019,> 65 Jahre,684
2019,Unbekannt,6
2019,Total,2498
2020,0 bis 17 Jahre,228
2020,18 bis 30 Jahre,273
2020,31 bis 65 Jahre,1373
2020,> 65 Jahre,643
2020,Unbekannt,0
2020,Total,2517
2021,0 bis 17 Jahre,234
2021,18 bis 30 Jahre,293
2021,31 bis 65 Jahre,1409
2021,> 65 Jahre,660
2021,Unbekannt,0
2021,Total,2596
