Jahr,Geschlecht,Count
2009,Männer,58.1
2009,Frauen,48
2009,Total,56.5
2010,Männer,70.2
2010,Frauen,44
2010,Total,66
2011,Männer,56.6
2011,Frauen,43.3
2011,Total,54.5
2012,Männer,56
2012,Frauen,69.6
2012,Total,58
2013,Männer,67.7
2013,Frauen,65.2
2013,Total,67.3
2014,Männer,74.5
2014,Frauen,73.9
2014,Total,74.4
2015,Männer,65.5
2015,Frauen,82.3
2015,Total,68.2
2016,Männer,61.5
2016,Frauen,56.1
2016,Total,60.6
2017,Männer,57.6
2017,Frauen,65.1
2017,Total,58.8
2018,Männer,52.4
2018,Frauen,50
2018,Total,51.9
2019,Männer,49.6
2019,Frauen,46.5
2019,Total,48.8
2020,Männer,57
2020,Frauen,43.4
2020,Total,50.2
2021,Männer,65.6
2021,Frauen,54.3
2021,Total,62.5
