Jahr,Geschlecht,Count
2009,Männer,13367
2009,Frauen,2102
2009,Total,15469
2010,Männer,16139
2010,Frauen,1928
2010,Total,18067
2011,Männer,13020
2011,Frauen,1895
2011,Total,14915
2012,Männer,12868
2012,Frauen,3056
2012,Total,15924
2013,Männer,15555
2013,Frauen,2858
2013,Total,18413
2014,Männer,17123
2014,Frauen,3242
2014,Total,20365
2015,Männer,15045
2015,Frauen,3603
2015,Total,18657
2016,Männer,14187
2016,Frauen,2469
2016,Total,16656
2017,Männer,13223
2017,Frauen,2852
2017,Total,16075
2018,Männer,12822
2018,Frauen,3165
2018,Total,15987
2019,Männer,13580
2019,Frauen,4753
2019,Total,18333
2020,Männer,13253
2020,Frauen,3731
2020,Total,16984
2021,Männer,12924
2021,Frauen,3966
2021,Total,16890
