Jahr,Kategorie,Count
2009,Einzelzimmer,0
2009,1 Zimmer,0
2009,2 Zimmer,5
2009,3 Zimmer,32
2009,4 Zimmer,26
2009,5 Zimmer +,0
2009,Total,63
2010,Einzelzimmer,0
2010,1 Zimmer,1
2010,2 Zimmer,11
2010,3 Zimmer,37
2010,4 Zimmer,32
2010,5 Zimmer +,0
2010,Total,81
2011,Einzelzimmer,0
2011,1 Zimmer,1
2011,2 Zimmer,10
2011,3 Zimmer,46
2011,4 Zimmer,37
2011,5 Zimmer +,0
2011,Total,94
2012,Einzelzimmer,0
2012,1 Zimmer,1
2012,2 Zimmer,12
2012,3 Zimmer,43
2012,4 Zimmer,39
2012,5 Zimmer +,0
2012,Total,95
2013,Einzelzimmer,0
2013,1 Zimmer,0
2013,2 Zimmer,12
2013,3 Zimmer,45
2013,4 Zimmer,38
2013,5 Zimmer +,0
2013,Total,95
2014,Einzelzimmer,0
2014,1 Zimmer,0
2014,2 Zimmer,11
2014,3 Zimmer,44
2014,4 Zimmer,44
2014,5 Zimmer +,0
2014,Total,99
2015,Einzelzimmer,0
2015,1 Zimmer,12
2015,2 Zimmer,30
2015,3 Zimmer,44
2015,4 Zimmer,44
2015,5 Zimmer +,0
2015,Total,130
2016,Einzelzimmer,0
2016,1 Zimmer,11
2016,2 Zimmer,31
2016,3 Zimmer,43
2016,4 Zimmer,41
2016,5 Zimmer +,0
2016,Total,126
2017,Einzelzimmer,0
2017,1 Zimmer,12
2017,2 Zimmer,33
2017,3 Zimmer,49
2017,4 Zimmer,48
2017,5 Zimmer +,1
2017,Total,143
2018,Einzelzimmer,9
2018,1 Zimmer,10
2018,2 Zimmer,32
2018,3 Zimmer,54
2018,4 Zimmer,47
2018,5 Zimmer +,1
2018,Total,153
2019,Einzelzimmer,10
2019,1 Zimmer,24
2019,2 Zimmer,29
2019,3 Zimmer,50
2019,4 Zimmer,45
2019,5 Zimmer +,1
2019,Total,159
2020,Einzelzimmer,12
2020,1 Zimmer,37
2020,2 Zimmer,29
2020,3 Zimmer,52
2020,4 Zimmer,50
2020,5 Zimmer +,2
2020,Total,182
2021,Einzelzimmer,11
2021,1 Zimmer,26
2021,2 Zimmer,28
2021,3 Zimmer,64
2021,4 Zimmer,59
2021,5 Zimmer +,2
2021,Total,190
