Jahr,Kategorie,Count
2009,Einzelzimmer,0
2009,1 Zimmer,0
2009,2 Zimmer,8
2009,3 Zimmer,51
2009,4 Zimmer,47
2009,5 Zimmer +,0
2009,Total,106
2010,Einzelzimmer,0
2010,1 Zimmer,1
2010,2 Zimmer,11
2010,3 Zimmer,49
2010,4 Zimmer,44
2010,5 Zimmer +,0
2010,Total,105
2011,Einzelzimmer,0
2011,1 Zimmer,1
2011,2 Zimmer,11
2011,3 Zimmer,49
2011,4 Zimmer,43
2011,5 Zimmer +,0
2011,Total,104
2012,Einzelzimmer,0
2012,1 Zimmer,1
2012,2 Zimmer,12
2012,3 Zimmer,46
2012,4 Zimmer,42
2012,5 Zimmer +,0
2012,Total,101
2013,Einzelzimmer,0
2013,1 Zimmer,0
2013,2 Zimmer,12
2013,3 Zimmer,45
2013,4 Zimmer,41
2013,5 Zimmer +,0
2013,Total,98
2014,Einzelzimmer,0
2014,1 Zimmer,0
2014,2 Zimmer,12
2014,3 Zimmer,45
2014,4 Zimmer,45
2014,5 Zimmer +,0
2014,Total,102
2015,Einzelzimmer,0
2015,1 Zimmer,12
2015,2 Zimmer,35
2015,3 Zimmer,49
2015,4 Zimmer,45
2015,5 Zimmer +,0
2015,Total,141
2016,Einzelzimmer,0
2016,1 Zimmer,12
2016,2 Zimmer,35
2016,3 Zimmer,49
2016,4 Zimmer,45
2016,5 Zimmer +,0
2016,Total,141
2017,Einzelzimmer,0
2017,1 Zimmer,12
2017,2 Zimmer,38
2017,3 Zimmer,55
2017,4 Zimmer,50
2017,5 Zimmer +,1
2017,Total,156
2018,Einzelzimmer,12
2018,1 Zimmer,12
2018,2 Zimmer,38
2018,3 Zimmer,56
2018,4 Zimmer,53
2018,5 Zimmer +,1
2018,Total,172
2019,Einzelzimmer,12
2019,1 Zimmer,25
2019,2 Zimmer,30
2019,3 Zimmer,58
2019,4 Zimmer,52
2019,5 Zimmer +,1
2019,Total,178
2020,Einzelzimmer,12
2020,1 Zimmer,37
2020,2 Zimmer,30
2020,3 Zimmer,57
2020,4 Zimmer,55
2020,5 Zimmer +,2
2020,Total,193
2021,Einzelzimmer,12
2021,1 Zimmer,29
2021,2 Zimmer,32
2021,3 Zimmer,71
2021,4 Zimmer,63
2021,5 Zimmer +,2
2021,Total,209
